RowIndex,Frequency(Hz),R(ohm),X(ohm),V(V),T(deg C),Range(Ohm),Timestamp
1,0.01,0.143787,-0.0598914,3.32208,20,0.3,2025-09-29 15:39:05
2,0.02,0.120991,-0.0446216,3.32546,20,0.3,2025-09-29 15:39:05
3,0.03,0.111953,-0.0359704,3.32562,20,0.3,2025-09-29 15:39:05
4,0.05,0.104003,-0.0269893,3.32593,20,0.3,2025-09-29 15:39:06
5,0.08,0.0988228,-0.02083,3.32611,20,0.3,2025-09-29 15:39:06
6,0.1,0.0968353,-0.0185044,3.32627,20,0.3,2025-09-29 15:39:06
7,0.2,0.0918091,-0.0130483,3.3264,20,0.3,2025-09-29 15:39:06
8,0.3,0.0895084,-0.0107772,3.32643,20,0.3,2025-09-29 15:39:06
9,0.5,0.0871357,-0.00860115,3.32652,20,0.3,2025-09-29 15:39:06
10,0.8,0.0853465,-0.00713835,3.32656,20,0.3,2025-09-29 15:39:06
11,1,0.0845971,-0.00659954,3.32659,20,0.3,2025-09-29 15:39:06
12,2,0.0825333,-0.0054403,3.32666,20,0.3,2025-09-29 15:39:06
13,3,0.081446,-0.00506426,3.32668,20,0.3,2025-09-29 15:39:07
14,5,0.0801056,-0.00485792,3.32669,20,0.3,2025-09-29 15:39:07
15,8,0.078859,-0.00483817,3.32672,20,0.3,2025-09-29 15:39:07
16,10,0.0782252,-0.00488718,3.32673,20,0.3,2025-09-29 15:39:07
17,11,0.0779724,-0.00491331,3.32676,20,0.3,2025-09-29 15:39:07
18,21,0.0760424,-0.00530557,3.32674,20,0.3,2025-09-29 15:39:07
19,31,0.0746966,-0.00562832,3.32675,20,0.3,2025-09-29 15:39:07
20,61,0.072085,-0.00615783,3.32676,20,0.3,2025-09-29 15:39:07
21,81,0.0708522,-0.00633491,3.32675,20,0.3,2025-09-29 15:39:07
22,100,0.0699342,-0.00639883,3.32674,20,0.3,2025-09-29 15:39:08
23,110,0.0694872,-0.00640558,3.32675,20,0.3,2025-09-29 15:39:08
